ID_Proyek,Jenis_Proyek,Lokasi,Nama_Proyek,Tanggal_Mulai,Tanggal_Selesai,Anggaran,Kontraktor
CN-0001-2023,Drainase,Bandung,Perbaikan Drainase Bandung,01/01/2023,09/03/2023,"649,208,256.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0001-2024,Drainase,Surabaya,Perbaikan Drainase Surabaya,28/01/2024,01/02/2024,"326,999,652.00",CV Sihombing
CN-0002-2023,Flyover,Depok,Pembuatan Flyover Depok,01/01/2023,16/05/2023,"3,474,309,188.00",CV Sihombing
CN-0002-2024,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,29/01/2024,14/02/2024,"8,587,951,510.00",CV Sihombing
CN-0003-2024,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,01/02/2024,21/02/2024,"8,016,851,785.00",PT.  Yuniar Hakim Tbk
CN-0004-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,02/01/2023,21/03/2023,"3,979,021,821.00",PT D
CN-0004-2024,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,03/02/2024,20/02/2024,"2,153,093,275.00",PT.  Yuniar Hakim Tbk
CN-0005-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,02/01/2023,11/12/2023,"683,556,997.00",PT A
CN-0005-2024,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,05/02/2024,02/03/2024,"4,636,324,090.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0006-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,03/01/2023,31/10/2023,"663,835,414.00",PT B
CN-0006-2024,Drainase,Bandung,Perbaikan Drainase Bandung,07/02/2024,09/03/2024,"698,540,517.00",PT A
CN-0007-2023,Flyover,Medan,Pembuatan Flyover Medan,03/01/2023,01/12/2023,"2,423,693,734.00",PT D
CN-0007-2024,Drainase,Depok,Perbaikan Drainase Depok,08/02/2024,15/02/2024,"313,131,839.00",PT D
CN-0008-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,03/01/2023,25/04/2023,"281,077,623.00",PT.  Yuniar Hakim Tbk
CN-0008-2024,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,08/02/2024,04/04/2024,"921,085,536.00",PT B
CN-0009-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,04/01/2023,13/09/2023,"241,214,887.00",PT B
CN-0009-2024,Drainase,Bandung,Perbaikan Drainase Bandung,12/02/2024,29/02/2024,"425,861,681.00",PT D
CN-0010-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,04/01/2023,14/11/2023,"749,126,801.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0010-2024,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,13/02/2024,04/04/2024,"6,584,342,537.00",PT.  Yuniar Hakim Tbk
CN-0011-2023,Drainase,Depok,Perbaikan Drainase Depok,05/01/2023,11/02/2023,"536,495,065.00",CV Sihombing
CN-0011-2024,Flyover,Bandung,Pembuatan Flyover Bandung,14/02/2024,14/02/2024,"3,981,092,285.00",PT D
CN-0012-2023,Drainase,Medan,Perbaikan Drainase Medan,06/01/2023,01/07/2023,"341,629,572.00",CV Sihombing
CN-0012-2024,Drainase,Tomohon,Perbaikan Drainase Tomohon,15/02/2024,20/02/2024,"603,837,273.00",PT B
CN-0013-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,09/01/2023,14/02/2023,"4,534,202,846.00",CV Sihombing
CN-0013-2024,Drainase,Medan,Perbaikan Drainase Medan,16/02/2024,24/02/2024,"257,898,943.00",PT.  Yuniar Hakim Tbk
CN-0014-2023,Drainase,Medan,Perbaikan Drainase Medan,10/01/2023,04/01/2024,"489,065,831.00",PT A
CN-0014-2024,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,17/02/2024,28/03/2024,"545,662,746.00",PT A
CN-0015-2024,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,18/02/2024,20/03/2024,"810,414,368.00",PT C
CN-0016-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,12/01/2023,02/12/2023,"341,929,482.00",PT.  Yuniar Hakim Tbk
CN-0016-2024,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,19/02/2024,06/04/2024,"599,466,235.00",PT.  Yuniar Hakim Tbk
CN-0017-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,13/01/2023,16/09/2023,"4,929,333,305.00",PT.  Yuniar Hakim Tbk
CN-0017-2024,Drainase,Bandung,Perbaikan Drainase Bandung,19/02/2024,28/02/2024,"333,089,653.00",PT B
CN-0018-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,14/01/2023,27/04/2023,"523,689,841.00",PT D
CN-0018-2024,Flyover,Bandung,Pembuatan Flyover Bandung,19/02/2024,24/04/2024,"3,757,312,666.00",PT B
CN-0019-2023,Flyover,Medan,Pembuatan Flyover Medan,14/01/2023,07/10/2023,"3,894,709,817.00",PT.  Yuniar Hakim Tbk
CN-0020-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,15/01/2023,19/09/2023,"4,532,376,815.00",PT D
CN-0020-2024,Jembatan,Depok,Pembuatan Jembatan Depok,24/02/2024,16/04/2024,"3,821,117,140.00",PT D
CN-0021-2023,Flyover,Bau-Bau,Perbaikan Flyover Bau-Bau,15/01/2023,30/12/2023,"4,159,855,566.00",PT C
CN-0022-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,15/01/2023,18/06/2023,"4,492,886,828.00",PT D
CN-0023-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,16/01/2023,18/04/2023,"1,424,729,417.00",PT.  Yuniar Hakim Tbk
CN-0024-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,17/01/2023,11/04/2023,"1,425,616,276.00",CV Sihombing
CN-0025-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,17/01/2023,29/07/2023,"307,413,755.00",CV Sihombing
CN-0026-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,18/01/2023,06/07/2023,"6,929,733,135.00",PT C
CN-0027-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,18/01/2023,24/12/2023,"1,567,712,170.00",PT.  Yuniar Hakim Tbk
CN-0028-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,19/01/2023,21/04/2023,"3,020,860,458.00",PT.  Yuniar Hakim Tbk
CN-0029-2023,Drainase,Medan,Perbaikan Drainase Medan,20/01/2023,28/06/2023,"443,234,047.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0030-2023,Flyover,Makassar,Pembuatan Flyover Makassar,21/01/2023,08/09/2023,"4,609,627,000.00",PT C
CN-0031-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,22/01/2023,08/05/2023,"995,204,213.00",PT.  Yuniar Hakim Tbk
CN-0032-2023,Flyover,Medan,Perbaikan Flyover Medan,23/01/2023,25/04/2023,"3,867,579,335.00",PT D
CN-0033-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,23/01/2023,01/03/2023,"8,428,412,586.00",PT.  Lailasari Hariyah (Persero) Tbk
