ID_Proyek,Jenis_Proyek,Lokasi,Nama_Proyek,Anggaran,Kontraktor
CN-0001-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"649,208,256.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0001-2024,Drainase,Surabaya,Perbaikan Drainase Surabaya,"326,999,652.00",CV Sihombing
CN-0002-2023,Flyover,Depok,Pembuatan Flyover Depok,"3,474,309,188.00",CV Sihombing
CN-0002-2024,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"8,587,951,510.00",CV Sihombing
CN-0003-2024,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"8,016,851,785.00",PT.  Yuniar Hakim Tbk
CN-0004-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,"3,979,021,821.00",PT D
CN-0004-2024,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"2,153,093,275.00",PT.  Yuniar Hakim Tbk
CN-0005-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"683,556,997.00",PT A
CN-0005-2024,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"4,636,324,090.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0006-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"663,835,414.00",PT B
CN-0006-2024,Drainase,Bandung,Perbaikan Drainase Bandung,"698,540,517.00",PT A
CN-0007-2023,Flyover,Medan,Pembuatan Flyover Medan,"2,423,693,734.00",PT D
CN-0007-2024,Drainase,Depok,Perbaikan Drainase Depok,"313,131,839.00",PT D
CN-0008-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"281,077,623.00",PT.  Yuniar Hakim Tbk
CN-0008-2024,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"921,085,536.00",PT B
CN-0009-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"241,214,887.00",PT B
CN-0009-2024,Drainase,Bandung,Perbaikan Drainase Bandung,"425,861,681.00",PT D
CN-0010-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"749,126,801.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0010-2024,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"6,584,342,537.00",PT.  Yuniar Hakim Tbk
CN-0011-2023,Drainase,Depok,Perbaikan Drainase Depok,"536,495,065.00",CV Sihombing
CN-0011-2024,Flyover,Bandung,Pembuatan Flyover Bandung,"3,981,092,285.00",PT D
CN-0012-2023,Drainase,Medan,Perbaikan Drainase Medan,"341,629,572.00",CV Sihombing
CN-0012-2024,Drainase,Tomohon,Perbaikan Drainase Tomohon,"603,837,273.00",PT B
CN-0013-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,"4,534,202,846.00",CV Sihombing
CN-0013-2024,Drainase,Medan,Perbaikan Drainase Medan,"257,898,943.00",PT.  Yuniar Hakim Tbk
CN-0014-2023,Drainase,Medan,Perbaikan Drainase Medan,"489,065,831.00",PT A
CN-0014-2024,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"545,662,746.00",PT A
CN-0015-2024,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"810,414,368.00",PT C
CN-0016-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"341,929,482.00",PT.  Yuniar Hakim Tbk
CN-0016-2024,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"599,466,235.00",PT.  Yuniar Hakim Tbk
CN-0017-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"4,929,333,305.00",PT.  Yuniar Hakim Tbk
CN-0017-2024,Drainase,Bandung,Perbaikan Drainase Bandung,"333,089,653.00",PT B
CN-0018-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"523,689,841.00",PT D
CN-0018-2024,Flyover,Bandung,Pembuatan Flyover Bandung,"3,757,312,666.00",PT B
CN-0019-2023,Flyover,Medan,Pembuatan Flyover Medan,"3,894,709,817.00",PT.  Yuniar Hakim Tbk
CN-0020-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"4,532,376,815.00",PT D
CN-0020-2024,Jembatan,Depok,Pembuatan Jembatan Depok,"3,821,117,140.00",PT D
CN-0021-2023,Flyover,Bau-Bau,Perbaikan Flyover Bau-Bau,"4,159,855,566.00",PT C
CN-0022-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"4,492,886,828.00",PT D
CN-0023-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,"1,424,729,417.00",PT.  Yuniar Hakim Tbk
CN-0024-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"1,425,616,276.00",CV Sihombing
CN-0025-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"307,413,755.00",CV Sihombing
CN-0026-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"6,929,733,135.00",PT C
